论文题目,来源期刊,作者,摘要
A Welfare Analysis of Policies Impacting Climate Change,American Economic Review,Robert W. Hahn; Nathaniel Hendren; Robert D. Metcalfe; Ben Sprung-Keyser,"We study the welfare impacts of 96 climate-related tax and spending policies. We extend and apply the marginal value of public funds (MVPF) framework, most notably providing a new method for incorporating learning-by-doing spillovers. We find subsidies for the production of clean energy (such as wind production tax credits) have higher MVPFs than all other subsidies in our sample, including EV subsidies. Conservation nudges have large MVPFs when targeting regions with dirty grids. Fuel taxes and cap-and-trade policies are highly efficient means of raising revenue. We also construct traditional cost-per-ton estimates and compare and contrast the lessons they provide. (JEL D83, H23, H25, L62, Q42, Q54, Q58)"
金融摩擦、企业数字化转型与货币政策传导的结构性效应,经济理论与经济管理,万晓莉叶芸绮陆利平唐敬尧,"精准把握数字时代下货币政策传导的重要转变与结构性特征,对健全我国宏观经济治理体系至关重要。本文基于2008—2022年A股上市公司数据，实证考察了企业数字化转型对货币政策资产负债表传导渠道有效性的影响与作用机理。研究发现，企业数字化转型对货币政策传导效应存在显著的非对称性影响。数字化转型通过缓解银企间信息不对称，显著削弱了非宽松货币政策对企业信贷获取的抑制作用，但对宽松货币政策的传导效果未产生显著影响。异质性分析显示，这一缓解效应在抵押物更少、风险水平更高、融资约束更严重的企业中更为突出，并在不同所有制、产业和地区的企业之间呈现出显著的结构性特征。本文为在数字时代下完善我国货币政策调控框架、健全宏观经济治理体系提供了有益启示。"
贸易冲击如何影响中国劳动力市场——基于数量、结构和技能的多重视角,经济研究,宋弘; 陈卓; 李婕; 谢慧华,近年来，持续演化的贸易冲击对中国劳动力市场产生了复杂而深远的影响。关税频繁变动对劳动力市场的影响不仅关系到就业总量稳定，也关系到岗位结构与技能配置的再平衡，是高质量就业发展进程中不可忽视的外部变量。本文基于国内主流招聘平台岗位微观数据，创新性地融合大语言模型与自然语言处理技术，系统识别了美国加征关税对中国城市劳动力需求规模、岗位结构和技能配置的多重影响，并厘清其影响路径和异质性。研究发现，外部加征关税显著抑制了城市线上招聘总量，这一影响主要作用于扩展边际，即招聘企业数量缩减，而非集约边际下企业平均招聘强度下滑。进一步结合工商注册企业数据与企业微观财务数据的分析表明：扩展边际的收缩特征主要体现为企业暂时停止招聘，而非退出市场；贸易冲击推升企业成本并压缩盈利，从而导致企业暂停招聘。异质性分析显示，冲击对低学历、低经验及常规体力技能相关岗位的抑制更强；贸易多元化程度更高、政策环境更稳定的城市表现出更强的就业韧性。本文的研究从数量、结构和技能视角厘清了贸易冲击对中国劳动力市场带来的多重影响，为稳主体、促多元化与促进劳动力转型的政策制定提供实证支撑，也为推动实现高质量充分就业提供经验启示。
融资平台市场化转型与债券融资成本:政府与企业双重视角,金融研究,刘贯春; 柳杭娟; 吴佳其; 何枫,"本文基于手工收集的融资平台转型数据以及2013—2023年债券发行数据,系统考察地方政府隐性债务治理对债券融资成本的影响。研究发现,融资平台市场化转型显著降低了城投债与企业债券的发行利差。机制检验表明,转型一方面倒逼融资平台提升自身经营造血能力,另一方面释放信贷资源缓解非平台企业的融资约束,进而共同压降两类债券的发行利差。分组分析显示,在财力薄弱的地区、盈利能力偏弱的发债主体及融资约束较为严重的企业中,融资平台市场化转型对债券发行利差的降低作用更为明显。本文证实了融资平台市场化转型在隐性债务治理与实体经济支持中的积极作用,为统筹“稳增长”与“防风险”提供了相应参考。"
自由贸易试验区制度创新与企业外资股权变动,财贸经济,杨连星 王秋硕 陈 丰 李大钊,自由贸易试验区制度创新对外资流动具有重要影响。本文基于2013—2020年全国企业税收调查数据、Bureau van Dijk数据、北大法宝数据和企查查数据，运用大语言模型引入语义分析技术，构建了自由贸易试验区制度创新指标体系，从制度创新领域差异视角检验了自由贸易试验区制度创新对企业外资股权变动的影响，研究表明自由贸易试验区制度创新对企业外资股权的提升存在显著促进效应。机制分析表明，自由贸易试验区制度创新通过优化营商环境、降低制度性交易成本、改善供应链关系吸引外资流入。异质性分析表明，在全国统一大市场发展更成熟、对接高标准国际经贸规则程度更高的地区，以及允许外资通过合资方式进入的行业和中游行业，自由贸易试验区制度创新的促进效应更明显。进一步讨论发现，自由贸易试验区制度创新促进外资流入，可推动企业长期价值的增长。本文为在自由贸易试验区提升战略中聚焦重点领域稳步扩大制度型开放，以制度创新为核心更大力度吸引和利用外资，进而推进高质量发展提供了一定的政策启示。
耐心资本能促进“卡脖子”技术突破吗？,财经研究,李杰; 陈晨; 张永杰 等,在全球竞争加剧、关键核心技术受制的背景下，如何实现“卡脖子”技术突破成为国家战略关注的重点。文章从耐心资本视角出发，基于2007—2024年中国A股上市公司数据，构建动态“卡脖子”技术突破指标，探讨了耐心资本对企业技术突破的影响。研究表明，耐心资本能够显著促进企业在“卡脖子”技术领域的突破。机制分析显示，耐心资本主要通过战略引导、风险包容和治理优化三重机制发挥作用。具体而言，耐心资本引导企业优化战略布局、强化供应链协同，提升对创新失败的容忍度、保障研发资源的持续配置，并抑制管理层短视行为、改善信息透明度。基于国家大基金设立的准自然实验与工具变量法识别，结果验证了耐心资本的因果效应。异质性分析显示，耐心资本在企业生命周期的前期和中期、战略属性较强的资本配置情境以及高新技术行业中发挥的作用更加突出。文章从国家战略需求出发，为理解资本要素如何支持“卡脖子”技术攻坚提供了新的研究视角和经验证据。
耐心资本支持与企业绿色创新质量,财经研究,宋肖肖; 雷婉佳; 胡海峰,耐心资本是支撑企业绿色转型的重要金融资源。文章基于机构投资者持股明细和期限数据识别耐心资本，以2010—2024年中国A股上市公司为研究样本，探究了耐心资本支持对企业绿色创新质量的影响及作用机制。研究发现，耐心资本支持显著提升了企业绿色创新质量，且耐心资本退出后对企业绿色创新质量仍具有持续促进作用。机制分析表明，耐心资本能够通过塑造可持续发展意识、缓解融资约束以及提升失败容忍度等渠道影响企业绿色创新质量。拓展分析表明，绿色金融、数字经济以及环境规制等国家政策能够强化耐心资本的积极作用，国家政策与市场力量在提升企业绿色创新质量方面存在协同效应。耐心资本对企业绿色创新质量的提升作用内外部治理较弱、规模较小以及行业竞争程度较高的企业中更加显著，耐心资本作为长期治理主体对公司治理能够发挥替代作用。未来应积极发挥耐心资本在企业绿色转型中的作用，为实现经济绿色转型与高质量发展提供坚实的金融支撑。
耐心资本如何“以点带面”——基于政府引导基金的研究,财经研究,杨靖; 田宗涛; 陈志斌,政府引导基金是壮大耐心资本的关键力量。文章以2015—2023年A股上市公司为研究样本，考察了政府引导基金投资对股票市场上机构投资者持股稳定性的影响。研究发现，政府引导基金投资显著提高了机构投资者对被投资企业的持股稳定性，发挥了“以点带面”的引导作用，壮大了耐心资本。机制检验表明，政府引导基金通过鉴证信号效应和质量改善效应提高了被投资企业的机构投资者关注度和公司质量，从而促进了机构持股稳定性提升。异质性分析表明，政府引导基金对机构持股稳定性的促进作用在规模较小的企业、战略性新兴产业的企业以及金融市场化水平较低地区的企业中更加明显。经济后果研究显示，在政府引导基金的支持下，机构持股稳定性的提高能够显著降低企业的股价崩盘风险和融资成本。文章为我国壮大耐心资本、稳定资本市场和推动经济高质量发展提供了新的经验证据。
耐心资本:基本特征、识别策略与实体效应,金融研究,褚荣泰; 向昊天,"耐心资本以长期投资为导向,同时对短期收益波动表现出较强承受能力,是推动企业高质量发展的重要力量。本文以我国公募基金为研究对象,从基金资产端投资行为出发,构建“持仓—收益”敏感性指标,识别出对持仓短期负向收益具有较高容忍度的耐心基金,并在此基础上,主要考察了耐心基金持股对被投企业的实体效应。研究发现,耐心基金持股显著促进被投企业投资与创新,其机制在于缓解企业所面临的资本市场压力,从而降低企业经营者短期主义行为。然而,耐心基金持股也弱化了外部约束,企业经营者自利行为随之增加,反映了资本市场压力缓解产生的潜在治理成本。进一步分析表明,公司治理环境是决定耐心资本净效应的关键因素,在外部监督机制较完善的企业中,耐心基金持股对投资与创新的促进作用更为显著。本文对我国识别和培育耐心资本、完善服务新质生产力的金融体系具有一定参考。"
绿色发展视域下的新质生产力,经济研究,谢申祥; 张新春,传统生产力及其发展范式无法全面实现人与自然和谐共生，全面推进中国式现代化需要全新的能源体制和工业模式。新质生产力的提出，从结构视角破解了这一难题，在统筹全面绿色转型与经济增长的同时，提供了从工业文明向生态文明转型的理论证成和实践指引，其根本宗旨在于引导建立“人、自然、生产力”三者之间的良性循环系统和持续正向反馈机制，孕育形成生态文明的内核。基于新质生产力的支撑，一个将自然资本收益内生化，以人的福祉为目标的发展范式将重塑人类文明。更进一步，论文阐释了新质生产力推动全面绿色转型，构建生态文明的理论逻辑与方法论基础，在此基础上提出“宏观体制机制改革—中观产业结构跃升—微观技术创新”的实践进路。毫无疑问，新质生产力理论是马克思主义生产力理论的巨大创新，是中国经济学自主知识体系的重要组成部分。
